judul,penulis,sinopsis
Atomic Habits,James Clear,"Orang mengira ketika Anda ingin mengubah hidup, Anda perlu memikirkan hal-hal besar. Namun pakar kebiasaan terkenal kelas dunia James Clear telah menemukan sebuah cara lain. Ia tahu bahwa perubahan nyata berasal dari efek gabungan ratusan keputusan kecil dari mengerjakan dua push-up sehari, bangun lima menit lebih awal, sampai menahan sebentar hasrat untuk menelepon.

Ia menyebutnya atomic habits.

Ia menyingkap beberapa trik sederhana dalam hidup kita (seni Menumpuk Kebiasaan yang terlupakan, kekuatan tak terduga Aturan Dua Menit, atau trik untuk masuk ke dalam Zona Goldilocks), dan menggali ke dalam teori psikologi dan neurosains paling baru untuk menerangkan mengapa semua itu penting. Dalam rangka itu, ia menceritakan kisah-kisah inspiratif para peraih medali emas Olimpiade, para CEO terkemuka, dan ilmuwan-ilmuwan istimewa yang telah menggunakan sains tentang kebiasaan-kebiasaan kecil untuk tetap produktif, tetap termotivasi, dan bahagia.

Perubahan-perubahan kecil ini akan mendatangkan pengaruh revolusioner pada karier Anda, hubungan pribadi Anda, dan hidup Anda."
Bicara Itu Ada Seninya,Oh Su Hyang,"TAHUKAH ANDA BAHWA BERBICARA ITU ADA SENINYA?

Ketika komunikasi menjadi hal yang penting untuk bersaing, pakar komunikasi Oh Su Hyang mengeluarkan buku yang sangat berarti. Selain berisi tentang pengalaman peningkatan diri, buku ini juga memuat berbagai konten mengenai teknik komunikasi, persuasi, dan negosiasi.

Lalu bagaimana cara berbicara yang baik? Apakah berbicara dengan artikulasi yang jelas? Atau berbicara tanpa mengambil tarikan napas? Tidak! Sebuah ucapan yang bisa disebut baik adalah yang bisa menggetarkan hati. Ucapan seorang juara memiliki daya tarik tersendiri. Ucapan pemandu acara memiliki kemampuan menghidupkan suasana dan kekuatan kalimatnya yang terus terang. Anda harus pandai berbicara untuk menunjukkan diri Anda kepada lawan bicara dalam kehidupan sosial. Orang yang berbicara dengan mahir akan menjadi lebih maju daripada yang lainnya.

Untuk mencapai tujuan komunikasi, persuasi, dan negosiasi, Anda harus mengetahui metode komunikasi yang efisien. Buku ini dijabarkan agar dapat dimengerti oleh siapa saja. Terdapat banyak episode menarik dari orang-orang terkenal dan juga rahasia inti dari komunikasi. Jika Anda membacanya dengan runut, saya yakin rasa percaya diri Anda untuk berbicara pun akan tumbuh dengan sendirinya."
You Do You: Discovering Life through Experiments & Self-Awareness,Fellexandro Ruby,"“Mas, gimana kalau passion gue belum menghasilkan?”
“Mas, apakah lebih baik jadi generalis atau spesialis?”
“Mas, gue pengin bisa ganti haluan karier di bidang yang lain, bisakah?”
“Mas, gue lagi di tengah-tengah quarter-life crisis. Help me.”
“Mas, gue bingung ikigai gue apa.”
“Mas, emang di usia 30 nanti, secara finansial gue udah mesti punya apa aja?”
“Mas, berbagi dong proses lo menuju ke Rp1M pertama.”

I feel you. Gue juga pernah mengalami keresahan yang sama. Faktanya, satu dekade pertama dalam perjalanan karier gue dihabiskan untuk bereksperimen dengan sembilan macam role yang berbeda, sampai akhirnya gue menemukan ikigai.

Sales, petugas lelang, operator alat berat, travel blogger, food photographer, penyanyi, social media manager, product manager di sebuah tech startup, sampai pengusaha pernah gue jalani. Menariknya, semua kegalauan dan pencarian itu mulai terjawab dengan sendirinya ketika gue bisa menjawab pertanyaan: “Who are you?” Ketika gue mengenal diri sendiri, maka pada titik itulah gue menemukan jawaban bahwa “your life (career, business, relationship, and finance) should be an extension of who you are”.

Buku ini nggak ngasih jawaban langsung, tapi ngebantu merefleksi diri, melihat ke dalam, mengurai situasi, supaya lo bisa menemukan sendiri jawaban, kapan pun lo bertemu dengan persimpangan. Let's begin the journey of finding yourself."
BERANI TIDAK DISUKAI,Ichiro Kishimi Dan Fumitake Koga,"membaca buku ini bisa mengubah hidup anda. jutaan orang sudah menarik manfaat darinya. sekarang giliran anda.

Berani Tidak Disukai, yang sudah terjual lebih dari 3,5 juta eksemplar, mengungkap rahasia mengeluarkan kekuatan terpendam yang memungkinkan Anda meraih kebahagiaan yang hakiki dan menjadi sosok yang Anda idam-idamkan.

Apakah kebahagiaan adalah sesuatu yang Anda pilih? Berani Tidak Disukai menyajikan jawabannya secara sederhana dan langsung. Berdasarkan teori Alfred Adler, satu dari tiga psikolog terkemuka abad kesembilan belas selain Freud dan Jung, buku ini mengikuti percakapan yang menggugah antara seorang filsuf dan seorang pemuda. Dalam lima percakapan yang terjalin, sang filsuf membantu muridnya memahami bagaimana masing-masing dari kita mampu menentukan arah hidup kita, bebas dari belenggu trauma masa lalu dan beban ekspektasi orang lain.

Buku yang kaya kebijaksanaan ini akan memandu Anda memahami konsep memaafkan diri sendiri, mencintai diri, dan menyingkirkan hal-hal yang tidak penting dari pikiran. Cara pikir yang membebaskan ini memungkinkan Anda membangun keberanian untuk mengubah dan mengabaikan batasan yang mungkin Anda berlakukan bagi diri Anda."
Sebuah Seni untuk Bersikap Bodo Amat,Mark Manson,"Dalam buku pengembangan diri yang mewakili generasi ini, seorang blogger superstar menunjukkan pada kita bahwa kunci untuk menjadi orang yang lebih kuat, lebih bahagia adalah dengan mengerjakan segala tantangan dengan lebih baik dan berhenti memaksa diri untuk menjadi ""positif"" di setiap saat.

Selama beberapa tahun belakangan, Mark Manson-melalui blognya yang sangat populer-telah membantu mengoreksi harapan-harapan delusional kita, baik mengenai diri kita sendiri maupun dunia. Ia kini menuangkan buah pikirnya yang keren itu di dalam buku hebat ini.

Manson melontarkan argumen bahwa manusia tak sempurna dan terbatas. Begini tulisnya, ""tidak semua orang bisa menjadi luar biasa-ada para pemenang dan pecundang di masyarakat, dan beberapa di antaranya tidak adil dan bukan akibat kesalahan Anda."" Manson mengajak kita untuk mengerti batasan-batasan diri dan menerimanya-baginya, ini adalah sumber kekuatan yang paling nyata.

Tepat saat kita mampu mengakrabi ketakutan, kegagalan, dan ketidakpastian-tepat saat kita berhenti melarikan diri dan mengelak, dan mulai menghadapi kenyataan-kenyataan yang menyakitkan-saat itulah kita bisa mulai menemukan keberanian dan kepercayaan diri yang selama ini kita cari dengan sekuat tenaga.

""Dalam hidup ini, kita hanya punya kepedulian dalam jumlah yang terbatas. Makanya, Anda harus bijaksana dalam menentukan kepedulian Anda."" Manson menciptakan momen perbincangan yang serius dan mendalam, dibungkus dengan cerita-cerita yang menghibur dan ""kekinian"", serta humor yang cadas. Buku ini merupakan tamparan di wajah yang menyegarkan untuk kita semua, supaya kita bisa mulai menjalani kehidupan yang lebih memuaskan, dan apa adanya."
THE THINGS YOU CAN SEE ONLY WHEN YOU SLOW DOWN,Haemin Sunim,"Apakah dunia ini sibuk, atau apakah ini pikiran saya? Dunia bergerak cepat, tetapi itu tidak berarti kita harus melakukannya. Panduan perhatian terlaris ini oleh Haemin Sunim, seorang guru meditasi Buddhis terkenal yang lahir di Korea dan dididik di Amerika Serikat, menerangi jalan menuju kedamaian batin dan keseimbangan di tengah banyaknya tuntutan kehidupan sehari-hari.

Dengan menawarkan petunjuk jalan menuju kesejahteraan dan kebahagiaan di delapan bidang - termasuk hubungan, cinta, dan kerohanian - Haemin Sunim menekankan pentingnya menjalin hubungan yang lebih dalam dengan orang lain dan berbelas kasih serta memaafkan terhadap diri sendiri.

Lebih dari dua puluh ilustrasi penuh warna yang menyertai ajarannya berfungsi sebagai selingan visual yang menenangkan, mendorong kami untuk memperhatikan bahwa ketika Anda melambat, dunia melambat bersama Anda.

The Things You Can See Only When You Slow Down ditulis berdasarkan latar belakang pengalaman Haemin Sunim yang relevan dengan pengalaman masyarakat. Sang penulis tidak memberikan tips dan trik secara langsung, tetapi melalui gagasan dalam rangkaian kalimat yang dapat kita renungkan sendiri jawabannya."
THINK AND GROW RICH,Napoleon Hill,"Think and Grow Rich adalah karya fundamental sang penulis buku sukses legendaris, Napoleon Hill. Buku yang pertama kali diterbitkan tahun 1937 ini sekarang tetap sama ampuhnya—dan akan mengubah kehidupan Anda selamanya.

Bisa dibilang mustahil menemukan motivator yang sama sekali tidak terpengaruh oleh karya Hill. Pengaruhnya bisa dilihat dalam tulisan-tulisan Dale Carnegie dan Norman Vincent Peale. Gaung dari prinsip-prinsip Hill juga bisa ditemukan dalam karya Mary Kay Ash, Ken Blanchard, Jack Canfield dan Mark Victor Hansen, John Gray, Brian Tracy, dan Dennis Waitley. Steven Covey, penulis The Seven Habits of Highly Effective People, sering kali menyampaikan pengaruh Napoleon Hill dalam karyanya. Selain itu, Anthony Robbins, yang boleh jadi merupakan motivator dan penulis buku motivasi paling sukses pada awal abad ke-21, menyebut Napoleon Hill sebagai pahlawannya.

Ciri khas utama edisi asli Think and Grow Rich adalah dalam setiap bab Napoleon Hill mencantumkan contoh-contoh nyata. Hal itu masih dipertahankan dalam edisi ini, dan dilengkapi contoh-contoh baru serta contoh kasus-kasus modern yang bisa dengan jelas mendemonstrasikan bahwa semua prinsip Hill tetap bisa diaplikasikan, dan sampai saat ini masih membimbing orang menuju kesuksesan.

Banyak kiat sukses yang Anda baca di berbagai bestseller lain berasal dari buku ini. Buktikan sendiri!"
Merawat Luka Batin,Dr Jiemi Ardian,"“You are what you think,” begitu kata banyak orang. Padahal, ketika saya berpikir saya kaya, uang dalam rekening saya tidak otomatis bertambah. Akan lebih tepat jika kutipan ini sedikit diubah menjadi “You are how you think”, karena perasaan dan diri kita bergantung pada bagaimana cara kita berpikir.

Buku ini berisi tentang proses berpikir, bukan sekadar berpikir dengan positif. Saat perasaan sedang tidak baik-baik saja, terlebih pada keadaan depresi, proses pikir kita biasanya ikut andil dalam memperburuk keadaan. Namun, sulit bagi kita untuk menyadari proses berpikir yang bermasalah ini karena
kita menganggapnya sebagai cara kita melihat realitas. Menyadari pikiran yang keliru saat hal itu muncul bukanlah hal yang mudah.

Buku ini memuat beberapa pola untuk membentuk cara berpikir yang tepat. Tak hanya orang-orang yang sedang merawat luka batin, para caregiver dan penyintas depresi juga bisa menarik manfaat dari buku ini. Semoga buku ini juga bisa menghapus stigma tentang depresi dan menunjukkan bahwa
gangguan kejiwaan, termasuk depresi, bisa dialami siapa saja."
Start With Why,Scott Belsky,"Start with Why menggunakan contoh dunia nyata untuk menguraikan konsep Lingkaran Emas yang merangkum pentingnya mengidentifikasi tujuan keberadaan organisasi sebelum hal lainnya, kemudian mengambil tindakan untuk membuat visi menjadi kenyataan. Asal mula perusahaan harus menjadi alasannya. Begitu juga dengan kehidupan pribadi kita.

Setiap orang atau organisasi dapat menjelaskan apa yang mereka lakukan; beberapa dapat menjelaskan bagaimana mereka berbeda atau lebih baik; tetapi sangat sedikit yang bisa mengartikulasikan mengapa. MENGAPA bukan tentang uang atau keuntungan, melainkan tentang hasil. MENGAPA adalah hal yang menginspirasi kita dan orangorang di sekitar kita.

Dengan menggunakan kisah Martin Luther King, Jr., Steve Jobs, hingga Wright Brothers, Simon Sinek menunjukkan bahwa para pemimpin yang menginspirasi berpikir, bertindak, dan berkomunikasi dengan cara yang sama—dan itu sangat berlawanan dari apa yang dilakukan kebanyakan orang. Buku ini memberikan kerangka kerja di mana organisasi dapat dibangun, gerakan dapat dipimpin, dan orang-orang dapat terinspirasi—dan semuanya dimulai dengan MENGAPA."
Insecurity Is My Middle Name,Alvi Syahrin,"Isi buku:
1. Kenapa good-loking yang selalu dipilih?
2. Lalu, siapa yamg akan memilihku?
3. Aku juga kayaknya nggak bisa apa-apa deh.
4. Skill apa, ya, yang cocok buat aku? |
5. Tapi, aku harus mulai dari mana, ya?
6. Aku bukan malas, hanya takut gagal lagi.
7. Dan, aku malu, belum bisa banggain orangtua.
8. Dan, aku kalah jauh dari teman-temanku.
9. Jujur, aku iri sama pencapaian mereka.
10. Nggak ada yang bisa dibanggakan dariku. .

tapi, di sinilah kamu, menyentuh buku ini, trying to feel something, trying to be something, dan kamu sudah ada di langkah yang tepat, karena di buku ini, ada 45 bab yang membantumu berdamai
dengan insecunty-mu"
